FIPS,state,county name,income,unemployment_rate,less_HS,at_HS,some_college,BS_and_above,All Gender All Race,Male All Race,Female All Race,All Gender White,Male White,Female White,All Gender Black,Male Black,All Gender Hispanic,Male Hispanic,All Gender Asian and Pacific Islander,All Gender American Indian and Alaskan Native,Male American Indian and Alaskan Native,Female American Indian and Alaskan Native,Female Black,Female Hispanic,Male Asian and Pacific Islander,Female Asian and Pacific Islander
51750,VA,Radford City,68800,6.6,12.83873834,23.54509107,34.14778617,29.46838442,408.5,453.4,348.8,403.2,454.9,332.7,423.1,null,null,null,null,null,null,null,415.1,null,null,null
51760,VA,Richmond City,73900,6,19.414344,23.08384489,23.72821901,33.7735921,378.2,483.3,292.6,286,379.8,217.9,477.9,651.9,153.6,198.1,164.1,null,null,null,357,79.7,133.9,133.9
51770,VA,Roanoke City,63600,5.8,17.82950351,29.79670199,29.45291106,22.92088344,404.3,522.9,318.1,397.4,522.4,301.1,460.2,548.7,72.6,null,null,null,null,null,382.1,null,null,null
51775,VA,Salem City,63600,5.1,11.88985472,29.34776001,28.75205155,30.01033372,365.9,488.2,255.7,364.2,474.9,256.7,373.4,628.9,null,null,null,null,null,null,269.8,null,null,null
51790,VA,Staunton City,62700,5.1,14.97183516,30.67892084,24.59531574,29.75392825,374.8,429.1,297.1,354,420.2,266.3,581.2,484.2,null,null,null,null,null,null,570,null,null,null
51800,VA,Suffolk City,73300,5.7,13.93353802,28.7809283,31.53873939,25.74679429,363.5,449.8,289.3,328.3,417,264.6,428.5,544.5,null,null,null,null,null,null,331.1,null,null,null
51810,VA,Virginia Beach City,73300,4.8,6.90853087,23.33471548,37.47582694,32.28092671,269.6,342.4,217.2,278.4,358.1,219.2,309.7,401.1,188.3,176.5,104.8,null,null,null,263.1,174,106.2,106.2
51820,VA,Waynesboro City,62700,5.2,17.7714405,37.10788064,22.86986158,22.25081728,341.3,418.4,255.3,326.8,409.3,238.9,470.2,null,null,null,null,null,null,null,null,null,null,null
51830,VA,Williamsburg City,73300,7.2,8.064276149,18.58354412,23.80598125,49.54619848,250.3,301,208.8,245.4,294.6,204.6,320.1,377.3,null,null,null,null,null,null,277.3,null,null,null
51840,VA,Winchester City,65700,5,18.07916182,28.81839348,23.57974389,29.52270081,291.3,381.9,195.7,287.6,401.7,186.3,298,null,null,null,null,null,null,null,null,null,null,null
53001,WA,Adams County,46300,6.9,32.63004375,26.57267866,28.50753525,12.28974234,308.7,391.7,215.2,317.9,408.9,225.6,null,null,238.7,290.6,null,null,null,null,null,139.5,null,null
53003,WA,Asotin County,57700,5.2,10.88225648,35.14594949,37.64512955,16.32666448,303.4,370.8,248,306.5,372.7,249.9,null,null,null,null,null,null,null,null,null,null,null,null
53005,WA,Benton County,67800,7.3,11.11091271,24.16277554,36.13613435,28.5901774,282.5,364.5,219,296.4,381.2,232.1,288.9,372.8,127.7,208.2,163.4,220.1,352.8,283,null,52.9,104,104
53007,WA,Chelan County,58700,6,16.50591936,28.77721666,30.59648978,24.1203742,250.5,329.6,187.3,262.2,345.4,198.3,271.6,369.4,95,132.2,138.7,307.8,441.3,222.9,197.4,90.4,110.7,110.7
